date,holiday
20191202,0
20191203,0
20191204,0
20191205,0
20191206,0
20191207,1
20191208,1
20191209,0
20191210,0
20191211,0
20191212,0
20191213,0
20191214,1
20191215,1
20191216,0
20191217,0
20191218,0
20191219,0
20191220,0
20191221,1
20191222,1
20191223,0
20191224,2
20191225,2
20191226,2
20191227,0
20191228,1
20191229,1
20191230,0
20191231,2
20200101,2
20200102,0
20200103,0
20200104,1
20200105,1
20200106,2
20200107,0
20200108,0
20200109,0
20200110,0
20200111,1
20200112,1
20200113,0
20200114,0
20200115,0
20200116,0
20200117,0
20200118,1
20200119,1
20200120,0
20200121,0
20200122,0
20200123,0
20200124,0
20200125,1
20200126,1
20200127,0
20200128,0
20200129,0
20200130,0
20200131,0
20200201,1
20200202,1
20200203,0
20200204,0
20200205,0
20200206,0
20200207,0
20200208,1
20200209,1
20200210,0
20200211,0
20200212,0
20200213,0
20200214,2
20200215,1
20200216,1
20200217,0
20200218,0
20200219,0
20200220,0
20200221,0
20200222,1
20200223,2
20200224,0
20200225,0
20200226,0
20200227,0
20200228,0
20200229,1
20200301,1
20200302,0
20200303,0
20200304,0
20200305,0
20200306,0
20200307,1
20200308,1
20200309,0
20200310,0
20200311,0
20200312,0
20200313,0
20200314,1
20200315,1
20200316,0
20200317,0
20200318,0
20200319,0
20200320,0
20200321,1
20200322,1
20200323,0
20200324,0
20200325,0
20200326,0
20200327,0
20200328,1
20200329,2
20200330,0
20200331,0
20200401,0
20200402,0
20200403,0
20200404,1
20200405,2
20200406,0
20200407,0
20200408,0
20200409,2
20200410,2
20200411,1
20200412,2
20200413,2
20200414,0
20200415,0
20200416,0
20200417,0
20200418,1
20200419,1
20200420,0
20200421,0
20200422,0
20200423,0
20200424,0
20200425,1
20200426,1
20200427,0
20200428,0
20200429,0
20200430,0
20200501,0
20200502,1
20200503,1
20200504,0
20200505,0
20200506,0
20200507,0
20200508,2
20200509,1
20200510,2
20200511,0
20200512,0
20200513,0
20200514,0
20200515,0
20200516,1
20200517,1
20200518,0
20200519,0
20200520,0
20200521,2
20200522,0
20200523,1
20200524,1
20200525,0
20200526,0
20200527,0
20200528,0
20200529,0
20200530,1
20200531,2
20200601,2
20200602,0
20200603,0
20200604,0
20200605,2
20200606,1
20200607,1
20200608,0
20200609,0
20200610,0
20200611,0
20200612,0
20200613,1
20200614,1
20200615,0
20200616,0
20200617,0
20200618,0
20200619,0
20200620,1
20200621,1
20200622,0
20200623,0
20200624,2
20200625,0
20200626,0
20200627,1
20200628,1
20200629,0
20200630,0
20200701,0
20200702,0
20200703,0
20200704,1
20200705,1
20200706,0
20200707,0
20200708,0
20200709,0
20200710,0
20200711,1
20200712,1
20200713,0
20200714,0
20200715,0
20200716,0
20200717,0
20200718,1
20200719,1
20200720,0
20200721,0
20200722,0
20200723,0
20200724,0
20200725,1
20200726,1
20200727,0
20200728,0
20200729,0
20200730,0
20200731,0
20200801,1
20200802,1
20200803,0
20200804,0
20200805,0
20200806,0
20200807,0
20200808,1
20200809,1
20200810,0
20200811,0
20200812,0
20200813,0
20200814,0
20200815,1
20200816,1
20200817,0
20200818,0
20200819,0
20200820,0
20200821,0
20200822,1
20200823,1
20200824,0
20200825,0
20200826,0
20200827,0
20200828,0
20200829,1
20200830,1
20200831,0
20200901,0
20200902,0
20200903,0
20200904,0
20200905,1
20200906,1
20200907,0
20200908,0
20200909,0
20200910,0
20200911,0
20200912,1
20200913,1
20200914,0
20200915,0
20200916,0
20200917,0
20200918,0
20200919,1
20200920,1
20200921,0
20200922,0
20200923,0
20200924,0
20200925,0
20200926,1
20200927,1
20200928,0
20200929,0
20200930,0
20201001,0
20201002,0
20201003,1
20201004,1
20201005,0
20201006,0
20201007,0
20201008,0
20201009,0
20201010,1
20201011,1
20201012,0
20201013,0
20201014,0
20201015,0
20201016,0
20201017,1
20201018,1
20201019,0
20201020,0
20201021,0
20201022,0
20201023,0
20201024,1
20201025,2
20201026,0
20201027,0
20201028,0
20201029,0
20201030,0
20201031,2
20201101,1
20201102,0
20201103,0
20201104,0
20201105,0
20201106,0
20201107,1
20201108,1
20201109,0
20201110,0
20201111,2
20201112,0
20201113,0
20201114,1
20201115,1
20201116,0
20201117,0
20201118,0
20201119,0
20201120,0
20201121,1
20201122,1
20201123,0
20201124,0
20201125,0
20201126,0
20201127,0
20201128,1
20201129,1
20201130,0
20201201,0
20201202,0
20201203,0
20201204,0
20201205,1
20201206,1
20201207,0
20201208,0
20201209,0
20201210,0
20201211,0
20201212,1
20201213,1
20201214,0
20201215,0
20201216,0
20201217,0
20201218,0
20201219,1
20201220,1
20201221,0
20201222,0
20201223,0
20201224,2
20201225,2
20201226,2
20201227,1
20201228,0
20201229,0
20201230,0
20201231,2
20210101,2
20210102,1
20210103,1
20210104,0
20210105,0
20210106,2
20210107,0
20210108,0
20210109,1
20210110,1
20210111,0
20210112,0
20210113,0
20210114,0
20210115,0
20210116,1
20210117,1
20210118,0
20210119,0
20210120,0
20210121,0
20210122,0
20210123,1
20210124,1
20210125,0
20210126,0
20210127,0
20210128,0
20210129,0
20210130,1
20210131,1
20210201,0
20210202,0
20210203,0
20210204,0
20210205,0
20210206,1
20210207,1
20210208,0
20210209,0
20210210,0
20210211,0
20210212,0
20210213,1
20210214,2
20210215,0
20210216,0
20210217,0
20210218,0
20210219,0
20210220,1
20210221,1
20210222,0
20210223,0
20210224,0
20210225,0
20210226,0
20210227,1
20210228,1
20210301,0
20210302,0
20210303,0
20210304,0
20210305,0
20210306,1
20210307,1
20210308,0
20210309,0
20210310,0
20210311,0
20210312,0
20210313,1
20210314,1
20210315,0
20210316,0
20210317,0
20210318,0
20210319,0
20210320,1
20210321,1
20210322,0
20210323,0
20210324,0
20210325,0
20210326,0
20210327,1
20210328,2
20210329,0
20210330,0
20210331,0
20210401,2
20210402,2
20210403,1
20210404,2
20210405,2
20210406,0
20210407,0
20210408,0
20210409,0
20210410,1
20210411,1
20210412,0
20210413,0
20210414,0
20210415,0
20210416,0
20210417,1
20210418,1
20210419,0
20210420,0
20210421,0
20210422,0
20210423,0
20210424,1
20210425,1
20210426,0
20210427,0
20210428,0
20210429,0
20210430,2
20210501,1
20210502,1
20210503,0
20210504,0
20210505,0
20210506,0
20210507,0
20210508,1
20210509,2
20210510,0
20210511,0
20210512,0
20210513,2
20210514,0
20210515,1
20210516,1
20210517,0
20210518,0
20210519,0
20210520,0
20210521,0
20210522,1
20210523,2
20210524,2
20210525,0
20210526,0
20210527,0
20210528,0
20210529,1
20210530,1
20210531,0
20210601,0
20210602,0
20210603,0
20210604,0
20210605,2
20210606,1
20210607,0
20210608,0
20210609,0
20210610,0
20210611,0
20210612,1
20210613,1
20210614,0
20210615,0
20210616,0
20210617,0
20210618,0
20210619,1
20210620,1
20210621,0
20210622,0
20210623,0
20210624,0
20210625,0
20210626,1
20210627,1
20210628,0
20210629,0
20210630,0
20210701,0
20210702,0
20210703,1
20210704,1
20210705,0
20210706,0
20210707,0
20210708,0
20210709,0
20210710,1
20210711,1
20210712,0
20210713,0
20210714,0
20210715,0
20210716,0
20210717,1
20210718,1
20210719,0
20210720,0
20210721,0
20210722,0
20210723,0
20210724,1
20210725,1
20210726,0
20210727,0
20210728,0
20210729,0
20210730,0
20210731,1
20210801,1
20210802,0
20210803,0
20210804,0
20210805,0
20210806,0
20210807,1
20210808,1
20210809,0
20210810,0
20210811,0
20210812,0
20210813,0
20210814,1
20210815,1
20210816,0
20210817,0
20210818,0
20210819,0
20210820,0
20210821,1
20210822,1
20210823,0
20210824,0
20210825,0
20210826,0
20210827,0
20210828,1
20210829,1
20210830,0
20210831,0
20210901,0
20210902,0
20210903,0
20210904,1
20210905,1
20210906,0
20210907,0
20210908,0
20210909,0
20210910,0
20210911,1
20210912,1
20210913,0
20210914,0
20210915,0
20210916,0
20210917,0
20210918,1
20210919,1
20210920,0
20210921,0
20210922,0
20210923,0
20210924,0
20210925,1
20210926,1
20210927,0
20210928,0
20210929,0
20210930,0
20211001,0
20211002,1
20211003,1
20211004,0
20211005,0
20211006,0
20211007,0
20211008,0
20211009,1
20211010,1
20211011,0
20211012,0
20211013,0
20211014,0
20211015,0
20211016,1
20211017,1
20211018,0
20211019,0
20211020,0
20211021,0
20211022,0
20211023,1
20211024,1
20211025,0
20211026,0
20211027,0
20211028,0
20211029,0
20211030,1
20211031,2
20211101,0
20211102,0
20211103,0
20211104,0
20211105,0
20211106,1
20211107,1
20211108,0
20211109,0
20211110,0
20211111,2
20211112,0
20211113,1
20211114,1
20211115,0
20211116,0
20211117,0
20211118,0
20211119,0
20211120,1
20211121,1
20211122,0
20211123,0
20211124,0
20211125,0
20211126,0
20211127,1
20211128,1
20211129,0
20211130,0
20211201,0
20211202,0
20211203,0
20211204,1
20211205,1
20211206,0
20211207,0
20211208,0
20211209,0
20211210,0
20211211,1
20211212,1
20211213,0
20211214,0
20211215,0
20211216,0
20211217,0
20211218,1
20211219,1
20211220,0
20211221,0
20211222,0
20211223,0
20211224,2
20211225,2
20211226,2
20211227,0
20211228,0
20211229,0
20211230,0
20211231,2
20220101,2
20220102,1
20220103,0
20220104,0
20220105,0
20220106,2
20220107,0
20220108,1
20220109,1
20220110,0
20220111,0
20220112,0
20220113,0
20220114,0
20220115,1
20220116,1
20220117,0
20220118,0
20220119,0
20220120,0
20220121,0
20220122,1
20220123,1
20220124,0
20220125,0
20220126,0
20220127,0
20220128,0
20220129,1
20220130,1
20220131,0
20220201,0
20220202,0
20220203,0
20220204,0
20220205,1
20220206,1
20220207,0
20220208,0
20220209,0
20220210,0
20220211,0
20220212,1
20220213,1
20220214,2
20220215,0
20220216,0
20220217,0
20220218,0
20220219,1
20220220,1
20220221,0
20220222,0
20220223,0
20220224,0
20220225,0
20220226,1
20220227,2
20220228,0
20220301,0
20220302,0
20220303,0
20220304,0
20220305,1
20220306,1
20220307,0
20220308,0
20220309,0
20220310,0
20220311,0
20220312,1
20220313,1
20220314,0
20220315,0
20220316,0
20220317,0
20220318,0
20220319,1
20220320,1
20220321,0
20220322,0
20220323,0
20220324,0
20220325,0
20220326,1
20220327,2
20220328,0
20220329,0
20220330,0
20220331,0
