,NO2,NOX,O3
0,8.15,9.12,58.03
1,8.59,9.66,58.25
2,8.95,10.84,57.74
3,7.73,9.07,59.37
4,6.6,7.38,60.93
5,6.01,6.62,61.67
6,7.19,8.4,61.27
7,7.21,7.92,60.11
8,7.73,8.97,59.53
9,8.66,9.64,57.94
10,9.54,11.32,56.94
11,8.85,9.6,57.98
12,7.1,8.59,59.57
13,5.37,6.08,60.63
14,6.29,7.61,59.03
15,5.81,6.46,59.47
16,5.37,6.25,59.99
17,3.96,4.3,61.33
18,4.28,4.48,61.53
19,3.19,3.21,63.1
20,3.1,3.5,62.96
21,2.79,3.0,62.25
22,3.19,3.35,61.01
23,2.79,2.68,61.13
24,3.14,3.06,60.27
25,3.06,3.39,59.65
26,2.1,1.93,61.67
27,1.59,1.32,68.84
28,1.13,1.22,68.11
29,1.47,1.32,68.43
30,1.13,1.22,68.3
31,1.51,1.28,66.89
32,1.59,1.49,66.66
33,1.59,1.28,66.43
34,1.4,0.54,67.16
35,1.78,1.63,64.75
36,1.66,1.05,70.05
37,4.28,3.88,69.21
38,3.72,3.6,68.93
39,3.16,3.31,68.65
40,4.15,4.4,67.21
41,3.52,3.35,66.15
42,7.48,9.2,62.09
43,8.43,9.52,61.01
44,8.8,9.68,60.09
45,6.1,7.04,63.02
46,6.52,7.32,62.17
47,6.94,7.98,60.47
48,5.01,5.83,63.48
49,6.27,7.15,61.33
50,6.08,7.17,62.78
51,5.57,6.71,64.24
52,5.34,6.1,63.12
53,4.46,5.45,66.66
54,4.69,5.79,66.64
55,4.19,4.72,67.93
56,5.24,6.06,66.32
57,4.65,5.39,66.9
58,6.48,7.13,63.86
59,5.37,5.55,64.54
60,6.56,7.23,63.12
61,5.72,6.69,64.0
62,7.13,8.45,62.17
63,5.99,6.92,63.0
64,8.17,8.22,60.53
65,6.22,6.5,61.35
66,5.28,5.79,64.18
67,5.26,6.25,64.34
68,5.37,5.83,64.56
69,4.51,4.69,65.58
70,4.61,5.18,65.68
71,3.92,4.4,66.6
72,4.38,4.65,65.88
73,4.92,5.09,65.32
74,4.19,4.51,65.16
75,3.46,3.37,66.06
76,2.54,2.52,67.41
77,3.33,3.27,66.52
78,1.89,1.97,67.63
79,1.72,1.8,66.89
80,1.66,2.01,65.26
81,3.29,3.65,63.14
82,1.82,2.18,61.82
83,3.48,3.54,60.49
84,5.49,5.85,56.9
85,4.38,4.65,54.64
86,4.9,4.93,52.85
87,5.64,5.95,51.81
88,6.81,7.1,50.44
89,7.98,8.24,49.07
90,13.54,15.93,43.67
91,20.22,33.18,31.21
92,16.85,19.11,38.92
93,13.75,15.19,40.99
94,12.34,13.46,43.07
95,13.88,17.31,41.71
96,11.17,12.81,44.88
97,9.89,11.67,44.07
98,9.96,11.84,43.31
99,8.64,9.62,44.62
100,10.46,12.22,43.83
101,10.06,12.47,44.01
102,8.82,10.92,43.21
103,10.38,12.6,41.57
104,13.38,17.73,38.6
105,11.69,12.91,46.54
106,11.07,12.09,52.49
107,9.96,10.69,54.8
108,10.31,11.36,53.05
109,10.04,11.04,54.14
110,10.16,10.84,55.44
111,9.83,9.96,57.38
112,9.26,9.72,57.46
113,7.4,7.46,59.07
114,6.41,6.64,60.55
115,5.26,5.45,62.19
116,3.82,4.15,62.92
117,3.73,3.67,62.41
118,2.98,2.73,63.42
119,3.17,3.39,61.79
120,3.69,3.75,59.83
121,5.01,5.24,57.78
122,3.69,3.61,58.79
123,4.57,4.57,56.68
124,5.43,5.39,54.08
125,4.78,4.72,54.98
126,6.33,6.35,54.9
127,5.03,5.13,54.82
128,4.05,4.05,57.04
129,3.94,3.9,56.76
130,3.54,3.27,57.88
131,3.42,3.02,57.3
132,3.22,3.07,58.38
133,3.02,3.12,59.47
134,2.43,2.37,60.85
135,2.12,2.14,60.8
136,3.46,3.27,62.23
137,4.65,4.49,60.54
138,3.84,4.02,60.99
139,4.11,3.96,59.85
140,4.72,4.72,58.31
141,5.07,5.2,57.22
142,6.41,7.02,54.26
143,7.34,7.8,53.23
144,9.05,9.91,52.67
145,9.24,10.79,52.85
146,8.43,9.87,54.46
147,10.4,12.53,53.37
148,8.49,10.35,55.7
149,6.96,8.19,58.65
150,5.72,6.33,61.23
151,7.04,8.13,60.97
152,7.5,8.99,61.75
153,6.67,7.65,63.14
154,6.31,6.88,63.74
155,5.89,6.41,65.02
156,4.95,5.05,67.04
157,5.05,4.99,66.68
158,5.95,6.35,66.88
159,5.51,5.51,67.51
160,5.28,5.32,67.45
161,4.21,4.11,69.65
162,4.95,5.07,68.05
163,4.65,4.57,68.25
164,4.88,5.07,67.08
165,3.54,3.67,70.15
166,2.85,2.66,72.44
167,1.8,1.51,72.1
168,1.86,1.87,71.55
169,1.99,1.91,69.37
170,2.7,2.6,66.2
171,2.79,2.93,64.78
172,2.31,2.41,63.9
173,2.35,2.39,62.7
174,1.24,1.2,62.8
175,1.13,1.11,62.59
176,1.82,1.59,61.67
177,2.51,2.33,60.75
178,2.54,2.68,60.97
179,2.31,2.31,62.23
180,1.43,1.2,64.27
181,1.82,1.8,62.78
182,1.42,1.48,65.0
183,1.03,1.17,67.23
184,1.78,1.63,67.21
185,1.57,1.49,66.15
186,1.72,1.76,64.96
187,2.91,2.93,66.31
188,2.39,2.35,67.22
189,2.6,2.26,68.93
190,2.3,2.52,68.83
191,2.87,3.12,67.69
192,3.56,4.07,68.45
193,4.46,5.09,69.45
194,3.77,4.13,68.17
195,4.02,4.74,66.38
196,3.1,3.6,70.11
197,3.12,3.81,70.79
198,3.54,3.86,71.21
199,5.64,6.54,67.63
200,5.32,6.39,67.49
201,5.39,5.85,67.93
202,6.37,6.64,65.26
203,10.33,10.96,58.85
204,9.75,10.46,57.56
205,10.69,11.53,55.94
206,11.63,12.37,55.0
207,11.82,12.34,58.0
208,9.2,9.79,60.81
209,7.96,8.26,62.13
210,8.03,8.38,62.61
211,10.31,10.35,61.39
212,10.29,11.13,61.77
213,9.43,9.89,61.13
214,8.8,8.97,61.25
215,9.05,9.28,60.63
216,6.94,7.02,64.66
217,6.79,6.88,63.84
218,6.87,6.64,64.94
219,3.17,2.77,68.84
220,1.74,1.76,68.11
221,2.47,2.37,68.43
222,2.56,2.51,68.3
223,2.31,2.24,66.89
224,1.72,1.76,67.58
225,1.45,1.15,66.43
226,1.53,1.45,65.32
227,2.07,2.28,64.22
228,3.06,3.16,63.14
229,4.53,4.3,61.59
230,4.93,5.09,59.63
231,7.63,7.76,56.74
232,10.62,11.33,53.1
233,13.62,14.9,49.47
234,14.96,16.18,47.12
235,20.22,23.75,40.01
236,19.73,21.52,41.79
237,18.0,23.35,44.18
238,27.01,47.6,22.59
239,18.93,29.94,29.46
240,16.26,24.86,36.32
241,16.74,23.07,34.41
242,16.35,22.94,39.16
243,15.57,21.98,29.64
244,14.91,20.59,43.51
245,15.16,21.16,41.05
246,15.77,22.01,43.09
247,12.17,16.58,50.79
248,13.38,23.08,49.91
249,13.68,17.79,47.56
250,18.46,24.04,40.07
251,18.33,23.28,38.02
252,18.65,23.03,40.31
253,16.71,16.47,45.68
254,16.25,19.7,39.12
255,16.78,21.19,34.69
256,15.38,21.84,17.28
257,20.64,22.46,10.3
258,19.14,20.62,5.85
259,18.0,18.52,13.97
260,18.2,18.89,4.41
261,20.73,21.49,6.75
262,26.17,27.12,3.79
263,25.67,26.84,12.41
264,23.41,24.42,1.98
265,21.26,22.12,2.99
266,19.72,20.4,2.43
267,18.76,19.01,2.85
268,16.12,16.53,3.27
269,14.99,15.36,3.89
270,15.58,17.51,4.72
271,13.9,15.37,5.55
272,14.23,15.59,7.86
273,11.6,12.41,17.24
274,11.9,12.93,17.16
275,11.74,12.89,16.01
276,11.76,12.76,12.84
277,11.77,12.63,9.68
278,13.66,15.52,20.78
279,18.54,22.32,17.86
280,22.46,26.04,20.08
281,25.22,34.32,14.15
282,32.72,42.67,17.08
283,39.11,33.53,12.73
284,33.12,30.73,18.42
285,32.42,31.66,22.01
286,16.21,23.41,33.33
287,18.93,29.94,24.29
288,16.26,24.86,19.74
289,16.74,23.07,24.93
290,16.35,22.94,23.81
291,15.57,21.98,25.51
292,14.91,20.59,21.25
293,15.16,21.16,22.21
294,15.77,22.01,25.68
295,15.34,20.64,23.13
296,17.04,23.08,20.32
297,17.63,23.43,19.36
298,18.46,24.04,13.87
299,18.33,23.28,7.98
300,18.65,23.03,5.97
301,16.71,20.78,5.37
302,16.25,19.7,2.12
303,16.78,21.19,2.18
304,15.38,21.84,6.01
305,20.64,22.46,10.88
306,19.14,20.62,6.96
307,18.0,18.52,5.37
308,18.2,18.89,6.23
309,20.73,21.49,10.54
310,26.17,27.12,7.42
311,25.67,26.84,8.4
312,23.41,24.42,5.97
313,21.26,22.12,11.42
314,19.72,20.4,12.41
315,18.57,19.01,13.91
316,15.1,16.45,15.71
317,14.99,15.36,15.65
318,7.71,7.77,16.5
319,7.5,7.79,17.98
320,7.83,8.16,17.51
321,11.6,12.41,17.04
322,10.03,10.48,22.43
323,8.46,8.54,21.67
324,8.39,8.62,21.01
325,9.08,9.16,24.53
326,10.02,10.31,23.5
327,10.96,11.46,22.47
328,17.11,20.35,16.4
329,25.22,30.8,8.6
330,32.72,42.67,2.43
331,39.11,65.07,2.43
332,37.51,70.32,1.94
333,32.42,31.66,4.83
334,27.01,47.6,3.17
335,18.93,29.94,4.93
336,16.26,24.86,7.68
337,16.74,23.07,8.1
338,16.35,22.94,8.08
339,15.57,21.98,9.3
340,14.91,20.59,10.64
341,15.16,21.16,11.28
342,15.77,22.01,10.36
343,15.34,20.64,9.36
344,17.04,23.08,9.62
345,17.63,23.43,12.05
346,18.46,24.04,13.25
347,18.33,23.28,5.59
348,18.65,23.03,10.26
349,16.71,20.78,13.97
350,16.25,19.7,17.9
351,16.78,21.19,15.27
352,15.38,21.84,16.82
353,20.64,22.46,16.09
354,19.14,20.62,16.72
355,18.0,18.52,22.77
356,18.2,18.89,28.64
357,11.91,13.75,39.75
358,9.98,10.75,42.45
359,9.66,10.71,43.07
360,8.51,8.59,45.04
361,9.2,10.31,42.63
362,9.03,9.37,43.09
363,8.38,8.78,44.36
364,6.56,6.77,46.08
365,6.31,6.64,46.42
366,5.99,6.2,45.62
367,6.06,6.39,45.0
368,5.72,6.01,43.67
369,5.62,5.58,40.99
370,6.9,7.21,36.75
371,8.46,8.54,32.51
372,12.55,13.71,26.14
373,11.77,12.63,21.79
374,13.66,15.52,18.16
375,18.54,22.32,13.93
376,21.74,25.83,11.5
377,24.93,29.34,9.08
378,19.58,28.37,8.56
379,20.22,33.53,7.8
380,19.73,30.73,6.81
381,18.0,31.66,8.28
382,27.01,23.41,6.65
383,18.93,29.94,7.22
384,16.26,24.86,8.18
385,16.74,23.07,9.38
386,16.35,22.94,8.94
387,15.57,21.98,10.82
388,14.91,20.59,14.55
389,15.16,21.16,16.4
390,15.77,22.01,13.05
391,15.34,20.64,8.38
392,17.04,23.08,8.34
393,17.63,23.43,8.46
394,18.46,24.04,8.1
395,18.33,23.28,14.71
396,18.65,23.03,14.91
397,16.71,20.78,8.46
398,16.25,19.7,3.97
399,16.78,21.19,6.39
400,15.38,21.84,7.9
401,20.64,22.46,10.52
402,19.14,20.62,15.01
403,18.0,18.52,22.41
404,18.2,18.89,16.26
405,20.73,21.49,25.58
406,11.88,14.09,33.45
407,11.17,12.32,35.5
408,11.15,12.2,41.11
409,10.45,11.83,40.05
410,7.99,8.36,46.82
411,6.73,7.0,50.61
412,7.04,7.34,52.67
413,5.62,5.62,53.58
414,6.18,6.45,50.96
415,5.74,6.1,48.34
416,5.74,5.7,49.31
417,5.24,5.41,50.71
418,5.13,5.32,50.07
419,5.64,5.79,46.52
420,4.82,4.96,47.27
421,4.0,4.13,48.02
422,2.26,2.28,60.07
423,1.84,1.86,67.23
424,1.51,1.61,67.21
425,1.45,1.74,66.15
426,1.07,1.2,64.96
427,1.03,0.77,66.31
428,1.01,1.38,69.39
429,0.86,1.15,72.23
430,0.92,1.19,75.33
431,1.09,1.43,72.52
432,1.07,1.63,73.04
433,1.28,1.59,74.28
434,1.51,2.28,72.72
435,1.87,2.43,72.04
436,1.38,2.03,72.18
437,0.94,1.34,73.1
438,1.17,1.53,72.36
439,1.89,2.95,71.85
440,2.12,2.83,72.18
441,2.2,2.6,72.7
442,2.7,3.39,70.95
443,4.19,4.53,67.87
444,6.08,6.33,64.72
445,5.41,5.64,65.14
446,4.19,4.44,64.82
447,4.19,4.67,63.84
448,3.17,3.46,66.18
449,3.82,4.04,65.88
450,3.31,3.71,65.2
451,2.95,3.04,63.28
452,3.96,4.26,62.9
453,8.97,8.7,51.57
454,6.08,6.2,58.93
455,4.07,4.59,63.9
456,3.04,3.19,65.56
457,3.39,3.46,66.94
458,3.82,4.02,67.06
459,2.66,2.79,68.57
460,3.0,3.25,68.11
461,1.95,2.14,68.43
462,1.68,2.03,68.3
463,0.71,0.86,66.89
464,1.01,1.19,64.82
465,2.07,2.01,62.76
466,1.13,0.92,66.72
467,0.65,0.4,64.75
468,1.15,1.24,64.27
469,1.68,1.86,62.78
470,3.51,3.68,58.52
471,5.34,5.51,54.26
472,3.29,3.82,55.16
473,6.08,6.43,49.31
474,7.0,7.52,49.35
475,7.0,7.57,50.19
476,7.65,8.24,48.22
477,10.77,11.88,44.6
478,9.41,10.25,44.66
479,12.03,13.62,42.71
480,12.41,14.42,43.89
481,13.04,15.57,49.15
482,11.67,14.38,58.03
483,11.63,13.96,58.71
484,8.61,10.98,63.32
485,6.1,7.59,67.04
486,9.22,11.61,61.37
487,8.32,10.37,62.57
488,7.15,8.89,63.94
489,7.15,8.7,62.92
490,10.06,11.48,57.3
491,9.24,10.35,56.1
492,10.12,11.46,56.06
493,8.91,9.94,55.66
494,12.64,14.23,52.31
495,14.57,16.18,50.19
496,9.94,10.84,55.62
497,10.61,11.9,54.9
498,12.62,13.85,52.95
499,18.0,18.52,36.86
500,18.2,18.89,32.71
501,11.91,14.13,38.54
502,11.88,14.09,34.05
503,11.17,12.32,30.59
504,11.15,12.2,31.07
505,10.45,11.83,32.49
506,10.25,11.54,30.97
507,10.28,11.33,31.53
508,9.34,9.84,31.41
509,8.37,9.35,33.29
510,7.71,7.77,34.31
511,7.5,7.79,32.59
512,7.83,8.16,32.01
513,7.13,7.54,32.41
514,7.16,7.54,29.48
515,8.46,8.54,26.54
516,7.25,7.84,30.17
517,8.74,9.45,29.6
518,9.03,9.75,29.66
519,6.87,7.61,31.85
520,8.46,9.0,30.66
521,10.04,10.38,29.48
522,13.69,14.34,26.22
523,20.04,23.35,20.88
524,15.28,18.23,24.25
525,15.68,16.98,23.57
526,16.21,19.95,21.07
527,15.5,21.42,21.91
528,16.26,24.86,20.0
529,16.74,23.07,16.52
530,16.35,22.94,17.44
531,15.57,21.98,17.3
532,14.91,20.59,17.64
533,15.16,21.16,14.63
534,15.77,22.01,17.98
535,15.34,20.64,17.74
536,17.04,23.08,18.9
537,17.63,23.43,20.44
538,18.46,24.04,16.52
539,18.33,23.28,22.33
540,18.65,23.03,28.46
541,16.71,20.78,26.64
542,16.25,19.7,27.52
543,16.78,21.19,22.45
544,15.38,21.84,22.81
545,20.64,22.46,23.57
546,19.14,20.62,19.24
547,18.0,18.52,6.83
548,18.2,18.89,5.33
549,20.73,21.49,9.2
550,26.17,27.12,7.7
551,25.67,26.84,7.12
552,23.41,24.42,5.57
553,21.26,22.12,5.03
554,19.72,20.4,3.79
555,18.76,19.01,5.93
556,16.12,16.53,16.21
557,14.99,15.36,27.02
558,7.71,7.77,28.84
559,7.5,7.79,30.67
560,14.23,15.58,24.77
561,11.6,12.41,23.05
562,11.9,12.93,26.76
563,8.46,8.54,34.67
564,8.76,8.72,37.99
565,9.05,8.89,41.31
566,9.47,10.21,44.38
567,7.75,7.92,51.39
568,8.84,9.77,55.04
569,9.03,9.03,57.94
570,11.17,11.93,58.09
571,15.91,17.33,54.36
572,10.84,11.26,59.01
573,11.19,11.34,59.51
574,12.85,13.83,57.88
575,11.09,12.68,59.91
576,11.49,13.1,58.47
577,9.87,11.26,59.75
578,10.06,11.76,59.27
579,8.78,10.61,62.25
580,8.47,10.25,62.68
581,7.67,9.39,63.4
582,7.69,9.56,62.9
583,9.08,10.71,61.55
584,9.07,10.14,60.89
585,13.68,16.52,55.04
586,17.89,17.05,51.23
587,14.18,16.97,52.05
588,18.65,23.03,45.24
589,14.36,15.61,53.54
590,14.52,16.08,51.69
591,13.56,14.36,52.69
592,8.84,9.33,57.04
593,10.19,10.77,54.48
594,11.15,11.78,52.69
595,8.84,9.1,54.9
596,8.03,8.7,56.58
597,7.17,7.44,58.53
598,6.81,6.73,58.63
599,6.08,5.99,58.27
600,5.11,5.34,60.15
601,5.62,5.55,58.29
602,6.04,6.1,57.36
603,5.93,6.2,56.76
604,5.93,5.78,56.26
605,5.89,6.12,52.81
606,6.54,6.52,48.89
607,7.25,7.13,45.86
608,7.83,8.05,43.74
609,7.13,7.54,41.61
610,7.16,7.54,39.0
611,8.46,8.54,38.22
612,8.39,8.62,37.18
613,8.97,9.31,37.7
614,9.06,9.74,37.34
615,9.14,10.16,36.98
616,9.87,11.23,36.84
617,10.61,11.74,38.02
618,11.48,12.47,38.1
619,12.51,14.04,36.56
620,12.26,13.9,36.52
621,12.57,14.63,35.14
622,16.12,20.0,32.21
623,13.16,15.66,32.47
624,12.66,14.86,33.25
625,12.24,14.57,33.01
626,13.44,15.87,32.17
627,13.78,16.01,31.27
628,14.91,17.61,29.64
629,15.16,15.97,28.32
630,15.77,15.53,28.56
631,15.34,16.58,28.56
632,17.04,17.73,26.2
633,13.68,18.23,26.58
634,14.38,17.05,27.68
635,14.18,16.97,27.3
636,14.25,16.46,26.48
637,16.71,20.78,24.57
638,16.25,17.55,25.86
639,16.78,18.46,25.09
640,15.38,16.69,24.97
641,14.17,17.16,26.24
642,17.94,19.94,23.63
643,18.0,18.52,23.09
644,16.99,18.89,23.77
645,11.91,14.13,23.09
646,11.88,14.09,24.53
647,11.17,12.32,25.13
648,11.15,12.2,23.61
649,10.45,11.83,20.32
650,17.63,19.12,19.38
651,10.28,11.33,21.45
652,15.1,15.71,21.07
653,14.99,15.36,21.11
654,11.24,11.58,24.71
655,7.5,7.79,22.27
656,12.88,8.16,22.97
657,11.54,11.68,24.69
658,7.16,7.54,24.18
659,11.74,8.54,23.67
660,11.81,8.62,24.47
661,11.77,12.63,21.85
662,10.31,10.44,25.09
663,9.94,10.58,26.98
664,12.72,13.59,24.86
665,15.51,16.6,22.73
666,14.59,16.03,24.11
667,15.97,17.94,22.39
668,19.73,30.73,13.71
669,18.0,24.04,16.68
670,16.21,23.41,15.67
671,18.93,22.64,14.79
672,16.26,24.86,11.38
673,16.74,23.07,11.75
674,16.35,22.94,15.57
675,15.57,21.98,11.14
676,14.91,20.59,12.19
677,15.16,21.16,11.0
678,15.77,22.01,9.54
679,15.34,20.64,12.65
680,17.04,23.08,11.87
681,17.63,23.43,12.57
682,18.46,24.04,11.06
683,18.33,23.28,8.14
684,18.65,23.03,11.6
685,16.71,20.78,10.62
686,16.25,19.7,8.84
687,16.78,21.19,10.54
688,15.38,16.69,13.59
689,14.17,17.43,13.97
690,13.09,17.06,15.41
691,12.97,15.49,18.94
692,12.02,14.57,20.74
693,11.91,13.54,22.01
694,11.8,13.22,22.33
695,11.09,12.2,23.15
696,10.71,11.46,23.41
697,10.45,11.83,23.45
698,10.25,11.54,23.27
699,10.28,11.33,20.99
700,9.34,9.84,17.58
701,8.37,9.35,18.22
702,7.71,7.77,19.56
703,7.5,7.79,20.91
704,7.83,8.16,22.11
705,11.07,7.54,24.13
706,7.16,7.54,26.0
707,8.46,8.54,26.52
708,8.8,8.47,30.92
709,9.14,8.4,35.32
710,7.84,7.59,44.68
711,5.97,5.85,56.42
712,7.29,7.52,58.39
713,6.77,7.23,60.54
714,7.32,10.19,62.09
715,7.31,8.41,61.43
716,7.25,8.34,61.13
717,7.78,8.84,60.35
718,6.52,7.48,60.89
719,5.76,6.22,60.27
720,7.98,9.24,57.42
721,7.99,9.39,55.52
722,10.27,12.03,52.87
723,9.28,10.5,54.14
724,13.09,17.0,47.94
725,11.74,14.17,48.91
726,11.74,13.87,50.97
727,9.49,11.0,55.28
728,10.25,12.09,54.14
729,13.29,15.32,50.87
730,11.09,12.47,52.55
731,9.91,10.92,55.06
732,6.77,8.01,56.62
733,6.23,7.46,55.52
734,6.66,8.32,52.23
735,6.27,7.29,50.65
736,5.81,6.73,51.45
737,4.42,4.46,52.31
738,5.2,5.51,51.01
739,4.78,4.49,52.05
740,4.02,4.25,53.17
741,2.93,2.43,55.34
742,2.51,2.3,56.76
743,2.39,2.16,56.7
744,2.58,2.72,56.6
745,3.14,2.72,56.84
746,2.22,2.33,59.13
747,1.91,1.61,59.03
748,3.1,2.96,56.9
749,2.64,2.33,56.9
750,2.58,2.3,57.56
751,2.33,2.03,58.21
752,2.35,2.33,58.13
753,1.97,1.49,58.05
754,2.22,2.01,56.8
755,1.76,1.3,58.35
756,2.24,1.42,56.92
757,2.01,1.55,53.4
758,2.19,2.06,51.94
759,2.37,2.58,50.47
760,3.14,3.25,46.64
761,4.15,4.7,44.96
762,3.96,4.36,45.34
763,4.04,4.57,43.91
764,4.69,5.18,43.21
765,4.7,5.05,42.43
766,6.16,7.21,40.63
767,5.45,5.97,44.8
768,6.83,8.28,51.31
769,6.08,6.77,58.27
770,6.56,7.5,62.82
771,6.45,7.4,66.22
772,7.46,8.85,62.72
773,6.66,7.34,60.23
774,8.28,9.72,56.5
775,7.04,7.92,55.0
776,6.2,6.94,55.46
777,4.9,5.81,58.31
778,4.05,4.36,59.75
779,4.02,4.51,60.65
780,4.67,5.01,59.57
781,4.95,5.37,59.09
782,5.22,5.57,59.87
783,4.25,4.82,61.81
784,3.77,4.44,62.17
785,3.27,3.69,62.57
786,3.02,3.23,62.7
787,2.58,2.91,63.94
788,2.75,3.25,65.24
789,3.33,3.54,63.5
790,3.31,3.88,63.72
791,2.89,3.27,63.52
792,3.0,3.48,63.44
793,3.6,4.36,62.55
794,4.78,5.57,60.55
795,3.86,4.11,61.55
796,16.12,16.53,46.02
797,6.96,7.36,56.86
798,2.73,2.83,62.45
799,2.75,3.0,63.52
800,2.39,2.31,65.56
801,3.04,3.17,64.22
802,2.81,3.14,64.22
803,2.26,2.28,64.22
804,2.62,2.22,64.27
805,2.66,2.56,62.78
806,1.47,1.64,60.85
807,1.84,2.01,60.8
